Trial,Direction,R,I,I_e,V,V_e
12, A, 0.0575, 2.00, 0.01, 39.4,  0.1

12, A, 0.0325, 2.50, 0.01, 21.2,  0.1
12, A, 0.039,  2.50, 0.01, 29.1,  0.1
12, A, 0.045,  2.50, 0.01, 38.9,  0.1
12, A, 0.0515, 2.50, 0.01, 49.9,  0.1
12, A, 0.0575, 2.50, 0.01, 62.1,  0.1

12, A, 0.0325, 3.00, 0.01, 30.4,  0.1
12, A, 0.039,  3.00, 0.01, 43.1,  0.1
12, A, 0.045,  3.00, 0.01, 57.1,  0.1
12, A, 0.0515, 3.00, 0.01, 74.2,  0.1
12, A, 0.0575, 3.00, 0.01, 91.8,  0.1

12, A, 0.0325, 3.50, 0.01, 41.2,  0.1
12, A, 0.039,  3.50, 0.01, 58.1,  0.1
12, A, 0.045,  3.50, 0.01, 76.7,  0.1
12, A, 0.0515, 3.50, 0.01, 100.2, 0.1
12, A, 0.0575, 3.50, 0.01, 126.2, 0.1
